SYMBOL	UCEC_CS	UCEC_OS	UCEC_TS	LUSC_CS	LUSC_OS	LUSC_TS	READ_CS	READ_OS	READ_TS	OV_CS	OV_OS	OV_TS	GBM_CS	GBM_OS	GBM_TS	BLCA_CS	BLCA_OS	BLCA_TS	HNSC_CS	HNSC_OS	HNSC_TS	LUAD_CS	LUAD_OS	LUAD_TS	COAD_CS	COAD_OS	COAD_TS	BRCA_CS	BRCA_OS	BRCA_TS	KIRC_CS	KIRC_OS	KIRC_TS	MAX_ONC	MAX_TSG	MAX_ONC_TSG
MDH1	0	0	0	1	1	0	0	0	0	1	1	0	-1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1
HPYR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CPEB4	-1	0	1	-1	1	2	0	0	0	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	-1	0	1	0	1	1	0	1	1	1	2	2
CPEB1	0	1	1	0	1	1	0	0	0	0	0	0	-1	0	1	-1	0	1	0	1	1	0	1	1	-1	0	1	0	1	1	0	1	1	1	1	1
CPEB3	0	1	1	-2	0	2	0	0	0	0	0	0	-2	0	2	-1	0	1	0	1	1	-1	0	1	-1	0	1	0	1	1	0	1	1	1	2	2
CPEB2	0	0	0	-1	0	1	0	0	0	-1	0	1	0	0	0	0	1	1	-1	0	1	0	0	0	-2	0	2	0	0	0	0	0	0	1	2	2
ENSG00000252234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRBD1	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1
ABAT	1	2	1	-2	0	2	0	0	0	-1	1	2	0	1	1	1	2	1	0	1	1	-1	1	2	0	1	1	0	2	2	-1	1	2	2	2	2
POU5F1B	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
CDH22	0	1	1	0	1	1	0	0	0	1	1	0	-1	0	1	-1	0	1	0	1	1	0	1	1	-1	0	1	-1	0	1	0	0	0	1	1	1
LOC441208	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1
PHOX2A	-1	0	1	0	1	1	0	0	0	-1	0	1	-1	0	1	-1	0	1	-1	1	2	-2	0	2	0	1	1	-1	1	2	-1	0	1	1	2	2
